-35.4,63.0,-1.883846061791754

-35.4,62.0,-1.8838401264659126

-35.4,61.0,-1.8838401264659126

-35.4,60.0,-1.8838401264659126

-35.4,59.0,-1.8838401264659126

-35.4,58.0,-1.8838401264659126

-35.4,57.0,-1.8838401264659126

-35.4,56.0,-1.8838401264659126

-35.4,55.0,-1.8838401264659126

-35.4,54.0,-1.8838401264659126

-35.4,53.0,-1.8838401264659126

-35.4,52.0,-1.8838401264659126

-35.4,51.0,-1.8838401264659126

-35.4,50.0,-1.8838401264659126

-35.4,49.0,-1.8838401264659126

-35.4,48.0,-1.8838401264659126

-35.4,47.0,-1.8838401264659126

-35.4,46.0,-1.8838401264659126

-35.4,45.0,-1.8838401264659126

-35.4,44.0,-1.8838401264659126

-35.4,43.0,-1.8838401264659126

-35.4,42.0,-1.8838401264659126

-35.4,41.0,-1.8838401264659126

-35.4,40.0,-1.8838401264659126

-35.4,39.0,-1.8838401264659126

-35.4,38.0,-1.8838401264659126

-35.4,37.0,-1.8838401264659126

-35.4,36.0,-1.8838401264659126

-35.4,35.0,-1.8838401264659126

-35.4,34.0,-1.8838401264659126

-35.4,33.0,-1.8838401264659126

-35.4,32.0,-1.8838401264659126

-35.4,31.0,-1.8838401264659126

-35.4,30.0,-1.8838401264659126

-35.4,29.0,-1.8838401264659126

-35.4,28.0,-1.8838401264659126

-35.4,27.0,-1.8838401264659126

-35.4,26.0,-1.8838401264659126

-35.4,25.0,-1.8838401264659126

-35.4,24.0,-1.8838401264659126

-35.4,23.0,-1.8838401264659126

-35.4,22.0,-1.8838401264659126

-35.4,21.0,-1.8838401264659126

-35.4,20.0,-1.8838401264659126

-35.4,19.0,-1.8838401264659126

-35.4,18.0,-1.8838401264659126

-35.4,17.0,-1.8838401264659126

-35.4,16.0,-1.8838401264659126

-35.4,15.0,-1.8838401264659126

-35.4,14.0,-1.8838401264659126

-35.4,13.0,-1.8838401264659126

-35.4,12.0,-1.8838401264659126

-35.4,11.0,-1.8838401264659126

-35.4,10.0,-1.8838401264659126

-35.4,9.0,-1.8838401264659126

-35.4,8.0,-1.8838401264659126

-35.4,7.0,-1.8838401264659126

-35.4,6.0,-1.8838401264659126

-35.4,5.0,-1.8838401264659126

